Date,Region,"New Cases","Total Cases","Confirmed Cases","Active Cases","Inpatient Hospitalizations","ICU Hospitalizations","Recovered Cases",Deaths
2020/03/18,"Far North",,,,,,,,
2020/03/18,North,,2,0,,,,,0
2020/03/18,"Central (excluding Saskatoon)",,0,0,,,,,0
2020/03/18,Saskatoon,,5,2,,,,,0
2020/03/18,"South (excluding Regina)",,1,0,,,,,0
2020/03/18,Regina,,8,0,,,,,0
2020/03/18,Total,,16,2,,,,,0
2020/03/19,"Far North",,,,,,,,
2020/03/19,North,0,2,1,,,,,0
2020/03/19,"Central (excluding Saskatoon)",1,1,0,,,,,0
2020/03/19,Saskatoon,1,6,2,,,,,0
2020/03/19,"South (excluding Regina)",1,2,0,,,,,0
2020/03/19,Regina,1,9,5,,,,,0
2020/03/19,Total,4,20,8,,,,,0
2020/03/20,"Far North",,,,,,,,
2020/03/20,North,0,2,1,,,,,0
2020/03/20,"Central (excluding Saskatoon)",2,3,0,,,,,0
2020/03/20,Saskatoon,0,6,2,,,,,0
2020/03/20,"South (excluding Regina)",0,2,0,,,,,0
2020/03/20,Regina,4,13,5,,,,,0
2020/03/20,Total,6,26,8,,,,,0
2020/03/21,"Far North",,,,,,,,
2020/03/21,North,0,2,1,,,,,0
2020/03/21,"Central (excluding Saskatoon)",1,4,0,,,,,0
2020/03/21,Saskatoon,12,18,14,,,,,0
2020/03/21,"South (excluding Regina)",0,2,0,,,,,0
2020/03/21,Regina,5,18,10,,,,,0
2020/03/21,Total,18,44,25,,,,,0
2020/03/22,"Far North",,,,,,,,
2020/03/22,North,1,3,2,,,,,0
2020/03/22,"Central (excluding Saskatoon)",0,4,0,,,,,0
2020/03/22,Saskatoon,3,21,17,,,,,0
2020/03/22,"South (excluding Regina)",3,5,3,,,,,0
2020/03/22,Regina,1,19,11,,,,,0
2020/03/22,Total,8,52,33,,,,,0
2020/03/23,"Far North",,,,,,,,
2020/03/23,North,0,3,3,,,,,0
2020/03/23,"Central (excluding Saskatoon)",4,8,7,,,,,0
2020/03/23,Saskatoon,9,30,30,,,,,0
2020/03/23,"South (excluding Regina)",0,5,5,,,,,0
2020/03/23,Regina,1,20,20,,,,,0
2020/03/23,Total,14,66,65,,,,,0
2020/03/24,"Far North",,,,,,,,
2020/03/24,North,0,3,3,,,,,0
2020/03/24,"Central (excluding Saskatoon)",0,8,8,,,,,0
2020/03/24,Saskatoon,4,34,34,,,,,0
2020/03/24,"South (excluding Regina)",0,5,5,,,,,0
2020/03/24,Regina,2,22,22,,,,,0
2020/03/24,Total,6,72,72,,,,,0
2020/03/25,"Far North",,,,,,,,
2020/03/25,North,0,3,3,,,,,0
2020/03/25,"Central (excluding Saskatoon)",0,8,8,,,,,0
2020/03/25,Saskatoon,7,41,41,,,,,0
2020/03/25,"South (excluding Regina)",2,7,7,,,,,0
2020/03/25,Regina,5,27,27,,,,,0
2020/03/25,Total,14,86,86,,,,,0
2020/03/26,"Far North",,,,,,,,
2020/03/26,North,0,3,3,,0,0,,0
2020/03/26,"Central (excluding Saskatoon)",5,13,13,,0,0,,0
2020/03/26,Saskatoon,3,44,44,,2,1,,0
2020/03/26,"South (excluding Regina)",0,7,7,,0,0,,0
2020/03/26,Regina,1,28,28,,3,1,,0
2020/03/26,Total,9,95,95,,5,2,,0
2020/03/27,"Far North",,3,3,,0,0,0,0
2020/03/27,North,,13,13,,1,0,0,0
2020/03/27,"Central (excluding Saskatoon)",,8,8,,0,0,1,0
2020/03/27,Saskatoon,,48,48,,1,1,1,0
2020/03/27,"South (excluding Regina)",,4,4,,0,0,1,0
2020/03/27,Regina,,28,28,,2,1,0,0
