Date,Region,"Inpatient Hospitalizations","ICU Hospitalizations"
2020/03/18,"Far North",,
2020/03/18,North,,
2020/03/18,"Central (excluding Saskatoon)",,
2020/03/18,Saskatoon,,
2020/03/18,"South (excluding Regina)",,
2020/03/18,Regina,,
2020/03/18,Total,,
2020/03/19,"Far North",,
2020/03/19,North,,
2020/03/19,"Central (excluding Saskatoon)",,
2020/03/19,Saskatoon,,
2020/03/19,"South (excluding Regina)",,
2020/03/19,Regina,,
2020/03/19,Total,,
2020/03/20,"Far North",,
2020/03/20,North,,
2020/03/20,"Central (excluding Saskatoon)",,
2020/03/20,Saskatoon,,
2020/03/20,"South (excluding Regina)",,
2020/03/20,Regina,,
2020/03/20,Total,,
2020/03/21,"Far North",,
2020/03/21,North,,
2020/03/21,"Central (excluding Saskatoon)",,
2020/03/21,Saskatoon,,
2020/03/21,"South (excluding Regina)",,
2020/03/21,Regina,,
2020/03/21,Total,,
2020/03/22,"Far North",,
2020/03/22,North,,
2020/03/22,"Central (excluding Saskatoon)",,
2020/03/22,Saskatoon,,
2020/03/22,"South (excluding Regina)",,
2020/03/22,Regina,,
2020/03/22,Total,,
2020/03/23,"Far North",,
2020/03/23,North,,
2020/03/23,"Central (excluding Saskatoon)",,
2020/03/23,Saskatoon,,
2020/03/23,"South (excluding Regina)",,
2020/03/23,Regina,,
2020/03/23,Total,,
2020/03/24,"Far North",,
2020/03/24,North,,
2020/03/24,"Central (excluding Saskatoon)",,
2020/03/24,Saskatoon,,
2020/03/24,"South (excluding Regina)",,
2020/03/24,Regina,,
2020/03/24,Total,,
2020/03/25,"Far North",,
2020/03/25,North,,
2020/03/25,"Central (excluding Saskatoon)",,
2020/03/25,Saskatoon,,
2020/03/25,"South (excluding Regina)",,
2020/03/25,Regina,,
2020/03/25,Total,,
2020/03/26,"Far North",,
2020/03/26,North,0,0
2020/03/26,"Central (excluding Saskatoon)",0,0
2020/03/26,Saskatoon,2,1
2020/03/26,"South (excluding Regina)",0,0
2020/03/26,Regina,3,1
2020/03/26,Total,5,2
2020/03/27,"Far North",0,0
2020/03/27,North,1,0
2020/03/27,"Central (excluding Saskatoon)",0,0
2020/03/27,Saskatoon,1,1
2020/03/27,"South (excluding Regina)",0,0
2020/03/27,Regina,2,1
2020/03/27,Total,4,2
2020/03/28,"Far North",0,0
2020/03/28,North,1,0
2020/03/28,"Central (excluding Saskatoon)",0,1
2020/03/28,Saskatoon,1,1
2020/03/28,"South (excluding Regina)",0,0
2020/03/28,Regina,1,1
2020/03/28,Total,3,3
2020/03/29,"Far North",0,0
2020/03/29,North,1,0
2020/03/29,"Central (excluding Saskatoon)",0,1
2020/03/29,Saskatoon,2,0
2020/03/29,"South (excluding Regina)",0,0
2020/03/29,Regina,0,1
2020/03/29,Total,3,2
2020/03/30,"Far North",0,0
2020/03/30,North,1,0
2020/03/30,"Central (excluding Saskatoon)",0,0
2020/03/30,Saskatoon,3,0
2020/03/30,"South (excluding Regina)",0,0
2020/03/30,Regina,0,1
2020/03/30,Total,4,1
2020/03/31,"Far North",0,0
2020/03/31,North,0,0
2020/03/31,"Central (excluding Saskatoon)",0,0
2020/03/31,Saskatoon,3,0
2020/03/31,"South (excluding Regina)",0,0
2020/03/31,Regina,0,1
2020/03/31,Total,3,1
2020/04/01,"Far North",0,0
2020/04/01,North,0,0
2020/04/01,"Central (excluding Saskatoon)",0,0
2020/04/01,Saskatoon,3,0
2020/04/01,"South (excluding Regina)",0,0
2020/04/01,Regina,0,1
2020/04/01,Total,3,1
2020/04/02,"Far North",0,0
2020/04/02,North,0,0
2020/04/02,"Central (excluding Saskatoon)",0,0
2020/04/02,Saskatoon,2,1
2020/04/02,"South (excluding Regina)",0,0
2020/04/02,Regina,0,1
2020/04/02,Total,2,2
2020/04/03,"Far North",0,0
2020/04/03,North,0,0
2020/04/03,"Central (excluding Saskatoon)",0,0
2020/04/03,Saskatoon,2,0
2020/04/03,"South (excluding Regina)",0,0
2020/04/03,Regina,0,1
2020/04/03,Total,2,1
2020/04/04,"Far North",0,0
2020/04/04,North,0,0
2020/04/04,"Central (excluding Saskatoon)",0,0
2020/04/04,Saskatoon,3,0
2020/04/04,"South (excluding Regina)",0,0
2020/04/04,Regina,0,1
2020/04/04,Total,3,1
2020/04/05,"Far North",0,0
2020/04/05,North,0,0
2020/04/05,"Central (excluding Saskatoon)",0,0
2020/04/05,Saskatoon,2,1
2020/04/05,"South (excluding Regina)",0,0
2020/04/05,Regina,0,1
2020/04/05,Total,2,2
