date,Community,Contacts,Investigation,Travellers
2020-04-01,8,41,57,87
2020-04-02,10,44,56,96
2020-04-03,10,52,56,102
2020-04-04,13,65,47,106
2020-04-05,14,71,55,109
2020-04-06,14,77,50,112
2020-04-07,13,80,52,115
2020-04-08,16,90,46,119
2020-04-09,20,96,40,122
2020-04-10,22,103,36,123
2020-04-11,22,106,35,126
2020-04-12,25,112,32,129
2020-04-13,27,120,22,131
2020-04-14,27,121,22,131
2020-04-15,30,122,21,131
2020-04-16,29,124,20,132
2020-04-17,29,129,16,133
2020-04-18,29,132,18,134
2020-04-19,29,132,20,134
2020-04-20,30,132,20,134
2020-04-21,31,134,20,135
2020-04-22,32,135,23,136
2020-04-23,33,142,20,136
2020-04-24,34,145,26,136
2020-04-25,34,146,31,138
2020-04-26,35,148,32,138
2020-04-27,35,149,42,139
2020-04-28,35,150,43,138
2020-04-29,35,154,57,137
2020-04-30,36,159,57,137
2020-05-01,38,163,76,138
2020-05-02,39,170,74,138
2020-05-03,40,176,79,138
2020-05-04,40,182,107,138
2020-05-05,41,184,124,138
2020-05-06,45,204,124,139
2020-05-07,53,231,108,139
2020-05-08,56,260,90,138
2020-05-09,61,273,81,138
2020-05-10,61,286,79,138
2020-05-11,66,288,76,138
2020-05-12,64,295,75,139
2020-05-13,65,297,76,139
2020-05-14,67,302,76,139
2020-05-15,68,304,79,139
2020-05-16,68,320,64,139
2020-05-17,68,320,65,139
2020-05-18,69,321,63,139
2020-05-19,69,323,68,139
2020-05-20,71,339,71,139
2020-05-21,72,348,63,139
2020-05-22,73,349,65,140
2020-05-23,74,355,60,141
2020-05-24,76,357,58,141
2020-05-25,76,358,59,141
2020-05-26,77,361,55,141
2020-05-27,77,363,56,141
2020-05-28,76,369,53,141
2020-05-29,77,374,48,142
2020-05-30,76,379,48,142
2020-05-31,76,381,47,142
2020-06-01,76,382,46,142
2020-06-02,77,384,43,142
2020-06-03,77,389,39,142
2020-06-04,77,389,39,143
2020-06-05,79,390,37,143
2020-06-06,79,391,37,143
2020-06-07,79,391,37,143
2020-06-08,79,393,38,144
2020-06-09,78,394,39,145
2020-06-10,78,395,40,145
2020-06-11,79,398,38,145
2020-06-13,80,400,38,146
2020-06-14,80,401,38,146
2020-06-15,80,409,48,146
2020-06-16,81,409,48,146
2020-06-17,82,417,48,146
2020-06-18,90,418,52,148
2020-06-19,89,422,55,150
2020-06-20,90,442,40,154
2020-06-21,96,452,42,156
2020-06-22,98,452,44,157
2020-06-23,98,452,46,157
2020-06-24,100,456,44,157
2020-06-25,100,459,44,157
2020-06-26,103,465,41,163
2020-06-27,103,472,39,163
2020-06-28,103,472,38,165
2020-06-29,103,472,39,165
2020-06-30,106,473,41,165
2020-07-02,109,478,43,165
2020-07-03,109,479,43,165
2020-07-06,113,480,45,167
2020-07-07,113,482,43,168
2020-07-08,113,483,44,168
2020-07-09,114,484,47,168
2020-07-10,115,485,47,168
2020-07-13,128,487,82,174
2020-07-14,132,493,75,176
2020-07-15,132,497,73,179
2020-07-16,134,504,105,180
2020-07-17,155,514,85,182
2020-07-18,160,514,84,183
2020-07-19,167,519,92,184
2020-07-20,165,516,79,183
2020-07-21,168,528,87,187
2020-07-22,184,532,125,189
2020-07-23,205,559,116,192
2020-07-24,216,571,115,197
2020-07-25,250,577,111,198
2020-07-26,272,597,111,198
2020-07-27,288,613,108,200
2020-07-28,293,616,109,200
2020-07-29,299,617,150,202
2020-07-30,310,643,151,202
2020-07-31,322,659,126,202
2020-08-01,347,678,106,203
2020-08-02,350,685,103,204
2020-08-03,357,693,104,205
2020-08-04,359,697,108,204
2020-08-05,358,703,110,205
2020-08-06,365,706,111,205
2020-08-07,378,711,114,206
2020-08-08,389,716,121,207
2020-08-09,389,720,130,206
2020-08-10,399,723,122,206
2020-08-11,406,730,135,208
2020-08-12,415,747,110,212
2020-08-13,411,775,109,216
2020-08-14,435,788,98,220
2020-08-15,455,804,85,222
2020-08-16,465,809,84,222
2020-08-17,470,809,78,224
2020-08-18,472,809,75,226
2020-08-19,473,813,74,226
2020-08-20,476,818,66,230
2020-08-25,484,818,66,233
2020-08-26,484,818,69,233
2020-08-27,484,822,69,234
2020-08-28,482,824,71,234
2020-08-29,483,825,71,236
2020-08-30,483,826,70,236
2020-08-31,483,826,73,237
2020-09-01,483,829,71,239
2020-09-02,485,829,70,240
2020-09-03,486,831,76,241
2020-09-04,487,831,70,250
2020-09-05,488,832,72,251
2020-09-06,488,834,78,251
2020-09-07,491,834,85,252
2020-09-08,493,838,84,254
2020-09-09,494,838,84,254
2020-09-10,498,839,82,257
2020-09-11,507,841,83,257
2020-09-12,515,845,92,257
2020-09-13,516,852,99,259
2020-09-14,518,855,99,259
2020-09-15,519,862,100,260
2020-09-16,520,873,97,262
2020-09-17,520,875,99,263
2020-09-18,520,877,115,264
2020-09-19,522,880,120,265
2020-09-20,523,881,138,265
2020-09-21,525,887,131,271
2020-09-22,528,894,131,271
2020-09-23,532,901,121,276
2020-09-24,533,906,119,277
2020-09-25,533,919,116,278
2020-09-26,534,931,119,279
2020-09-27,535,932,132,279
2020-09-28,544,938,130,280
2020-09-29,555,936,122,286
2020-09-30,560,941,123,289
2020-10-01,564,944,128,291
2020-10-02,565,954,128,293
2020-10-03,567,962,129,296
2020-10-04,567,965,131,296
2020-10-05,570,976,122,300
2020-10-06,570,984,127,303
2020-10-07,574,989,128,303
2020-10-08,585,998,125,304
2020-10-09,590,1004,132,308
2020-10-10,592,1027,139,310
2020-10-11,599,1036,145,312
2020-10-12,603,1061,162,314
2020-10-13,613,1066,178,317
2020-10-14,618,1071,192,318
2020-10-15,622,1081,210,319
2020-10-16,628,1101,223,318
2020-10-17,634,1125,224,323
2020-10-18,636,1137,234,323
2020-10-19,647,1160,263,326
2020-10-20,653,1182,277,327
2020-10-21,674,1215,275,332
2020-10-22,682,1276,265,335
2020-10-23,690,1299,264,338
2020-10-24,694,1331,302,NA
2020-10-25,706,1354,321,NA
2020-10-26,715,1365,353,NA
2020-10-27,730,1392,368,NA
2020-10-28,745,1436,372,NA
2020-10-29,761,1473,398,NA
2020-10-30,781,1514,409,NA
2020-10-31,793,1546,441,NA
2020-11-01,801,1577,469,NA
2020-11-02,801,1581,539,NA
2020-11-03,816,1627,557,NA
2020-11-04,826,1660,545,377
2020-11-05,847,1690,619,380
2020-11-06,865,1734,643,381
2020-11-08,883,1834,793,387
2020-11-09,887,1871,941,388
2020-11-10,914,1931,975,394
2020-11-11,960,1963,1007,396
2020-11-12,974,2014,1048,401
2020-11-13,1018,2071,1023,401
2020-11-14,1043,2152,1220,405
2020-11-15,1063,2225,1304,409
2020-11-16,1074,2287,1409,412
2020-11-17,1105,2351,1549,417
2020-11-18,1138,2419,1577,419
2020-11-19,1176,2490,1566,419
2020-11-20,1216,2589,1578,421
2020-11-21,1283,2731,1789,434
2020-11-22,1315,2800,1921,437
2020-11-23,1333,2868,2068,439
2020-11-24,1427,3027,1977,452
2020-11-25,1473,3195,1919,460
2020-11-26,1496,3299,2104,463
2020-11-27,1569,3419,2237,466
2020-11-28,1713,3502,2207,466
2020-11-29,1768,3562,2439,470
2020-11-30,1825,3616,2652,471
2020-12-01,1914,3717,2635,479
2020-12-02,2144,3812,2546,480
2020-12-03,2221,3929,2608,486
2020-12-04,2270,4037,2729,491
2020-12-05,2324,4149,2759,498
2020-12-06,2382,4244,3012,501
2020-12-07,2400,4300,3208,504
2020-12-08,2440,4446,3201,510
2020-12-09,2479,4599,3305,516
2020-12-10,2567,4792,3338,526
2020-12-11,2676,5015,3251,533
2020-12-12,2740,5102,3368,539
2020-12-13,2726,5336,3360,549
2020-12-14,2755,5523,3409,551
2020-12-15,2762,5725,3390,555
2020-12-16,2827,5878,3327,562
2020-12-17,2885,6117,3259,571
2020-12-18,2937,6292,3273,575
2020-12-19,2985,6403,3361,580
2020-12-20,3030,6476,3464,585
2020-12-21,3089,6572,3513,587
2020-12-22,3153,6695,3499,595
2020-12-23,3237,6862,3399,603
2020-12-24,3293,6942,3412,608
2020-12-27,3363,7079,3762,610
2020-12-29,3458,7251,3693,620
2020-12-30,3529,7431,3574,626
2020-12-31,3578,7559,3581,632
