Date,Saskatoon,North,Regina,Central,South,New,Cases,Hospitalized,ICU,Recovered,Deaths,Tests
2020-03-12,1,NA,NA,NA,NA,1,1,NA,NA,0,0,157
2020-03-13,1,NA,NA,NA,NA,1,2,NA,NA,0,0,NA
2020-03-14,NA,NA,3,NA,NA,4,6,NA,NA,0,0,NA
2020-03-15,NA,NA,NA,NA,NA,0,6,NA,NA,0,0,NA
2020-03-16,NA,NA,1,NA,NA,1,7,NA,NA,0,0,NA
2020-03-17,NA,NA,1,NA,NA,1,8,NA,NA,0,0,NA
2020-03-18,3,NA,3,NA,NA,8,16,NA,NA,0,0,NA
2020-03-19,1,NA,1,NA,NA,4,20,NA,NA,0,0,583
2020-03-20,NA,NA,4,NA,NA,6,26,NA,NA,0,0,532
2020-03-21,12,NA,5,NA,NA,18,44,NA,NA,0,0,95
2020-03-22,3,NA,1,NA,NA,8,52,NA,NA,0,0,1348
2020-03-23,9,NA,1,NA,NA,14,66,NA,NA,0,0,733
2020-03-24,4,NA,2,NA,NA,6,72,NA,NA,0,0,488
2020-03-25,7,NA,5,NA,NA,14,86,NA,NA,0,0,513
2020-03-26,3,NA,1,NA,NA,9,95,5,2,3,0,645
2020-03-27,4,NA,NA,NA,NA,9,104,4,2,3,0,665
2020-03-28,10,NA,4,NA,NA,29,134,3,3,4,0,668
2020-03-29,14,NA,2,NA,NA,23,156,3,2,8,0,838
2020-03-30,12,NA,2,NA,NA,20,176,4,1,14,2,565
2020-03-31,6,NA,3,NA,NA,20,184,3,1,21,2,475
2020-04-01,4,NA,4,NA,NA,19,193,3,1,30,3,402
2020-04-02,9,NA,1,NA,NA,13,206,2,2,36,3,867
2020-04-03,8,NA,1,NA,NA,14,220,2,1,48,3,717
2020-04-04,1,NA,5,NA,NA,11,231,3,1,55,3,558
2020-04-05,11,NA,1,NA,NA,18,249,2,2,67,3,858
2020-04-06,4,NA,0,NA,NA,4,253,2,2,81,3,650
2020-04-07,4,NA,1,NA,NA,7,260,5,2,88,3,544
2020-04-08,4,NA,4,NA,NA,11,271,6,2,103,3,899
2020-04-09,3,NA,2,NA,NA,7,278,6,2,115,3,1051
2020-04-10,4,NA,2,NA,NA,7,285,6,2,136,3,962
2020-04-11,3,NA,2,NA,NA,4,289,7,1,147,4,814
2020-04-12,2,NA,3,NA,NA,9,298,7,0,164,4,828
2020-04-13,0,NA,2,NA,NA,2,300,8,0,178,4,528
2020-04-14,0,NA,0,NA,NA,2,301,7,0,187,4,478
2020-04-15,0,NA,2,NA,NA,3,304,8,0,205,4,625
2020-04-16,0,NA,1,NA,NA,1,305,7,0,219,4,662
2020-04-17,0,NA,1,NA,NA,2,307,5,1,228,4,638
2020-04-18,1,NA,1,NA,NA,6,313,4,1,234,4,885
2020-04-19,1,NA,0,NA,NA,2,315,3,1,234,4,817
2020-04-20,0,NA,0,NA,NA,1,316,3,1,238,4,503
2020-04-21,1,NA,1,NA,NA,4,320,4,1,252,4,399
2020-04-22,0,NA,0,NA,NA,6,326,4,1,261,4,510
2020-04-23,0,NA,0,NA,NA,5,331,5,1,270,4,551
2020-04-24,0,NA,2,NA,NA,10,341,3,2,280,4,590
2020-04-25,0,NA,0,NA,NA,8,349,2,2,288,4,770
2020-04-26,0,NA,1,NA,NA,4,353,3,2,288,4,652
2020-04-27,0,NA,0,NA,NA,12,365,5,2,288,5,412
2020-04-28,0,NA,1,NA,NA,1,366,6,2,291,5,336
2020-04-29,1,NA,0,NA,NA,17,383,7,3,291,6,474
2020-04-30,2,NA,0,NA,NA,6,389,7,3,295,6,536
2020-05-01,0,NA,0,NA,NA,26,415,7,3,297,6,715
2020-05-02,1,NA,1,NA,NA,6,421,10,2,302,6,488
2020-05-03,4,NA,0,NA,NA,12,433,11,3,305,6,727
2020-05-04,1,NA,0,NA,NA,34,467,7,4,307,6,762
2020-05-05,0,NA,0,NA,NA,20,487,9,4,310,6,587
2020-05-06,1,NA,0,NA,NA,25,512,9,4,312,6,670
2020-05-07,0,NA,0,NA,NA,19,531,8,4,329,6,770
2020-05-08,0,NA,0,NA,NA,13,544,15,4,335,6,815
2020-05-09,0,NA,0,NA,NA,9,553,10,5,340,6,941
2020-05-10,0,NA,0,NA,NA,11,564,8,4,349,6,743
2020-05-11,0,NA,0,NA,NA,4,568,8,3,363,6,579
2020-05-12,0,NA,0,NA,NA,5,573,8,3,374,6,256
2020-05-13,0,NA,0,NA,NA,4,577,7,3,385,6,462
2020-05-14,0,NA,1,NA,NA,5,582,7,3,398,6,571
2020-05-15,0,NA,0,NA,NA,8,590,6,3,408,6,505
2020-05-16,1,NA,0,NA,NA,1,591,5,3,433,6,864
2020-05-17,0,NA,0,NA,NA,1,592,2,3,444,6,709
2020-05-18,0,NA,0,NA,NA,0,592,2,3,455,6,353
2020-05-19,0,NA,0,NA,NA,7,599,2,3,470,6,447
2020-05-20,1,NA,0,NA,NA,21,620,1,3,494,7,345
2020-05-21,0,NA,0,NA,NA,2,622,2,3,509,7,492
2020-05-22,0,NA,0,NA,NA,5,627,2,3,521,7,400
2020-05-23,0,NA,0,NA,NA,3,630,2,3,535,7,576
2020-05-24,0,NA,0,NA,NA,2,632,2,3,538,7,443
2020-05-25,0,NA,0,NA,NA,2,634,2,4,546,7,450
2020-05-26,0,NA,0,NA,NA,0,634,2,3,549,8,268
2020-05-27,0,NA,2,NA,NA,3,637,1,3,559,10,538
2020-05-28,1,NA,0,NA,NA,2,639,1,3,568,10,751
2020-05-29,1,NA,0,NA,NA,2,641,2,2,570,10,585
2020-05-30,0,NA,1,NA,NA,4,645,2,1,580,10,660
2020-05-31,0,NA,1,NA,NA,1,646,3,1,582,11,710
2020-06-01,0,NA,1,NA,NA,1,646,2,2,588,11,448
2020-06-02,0,NA,0,NA,NA,0,646,0,2,602,11,321
2020-06-03,0,NA,0,NA,NA,1,647,0,2,602,11,539
2020-06-04,1,NA,0,NA,NA,1,648,0,2,608,11,783
2020-06-05,0,NA,0,NA,NA,1,649,0,1,611,11,682
2020-06-06,0,NA,0,NA,NA,1,650,0,1,611,11,584
2020-06-07,0,NA,0,NA,NA,0,650,0,1,623,11,512
2020-06-08,3,NA,0,NA,NA,4,654,0,1,624,13,536
2020-06-09,1,NA,0,NA,NA,2,656,0,1,624,13,282
2020-06-10,1,NA,0,NA,NA,2,658,0,1,624,13,605
2020-06-11,1,NA,0,NA,NA,2,660,0,1,626,13,737
2020-06-12,1,NA,0,NA,NA,3,663,0,1,627,13,665
2020-06-13,0,NA,0,NA,NA,1,664,1,1,627,13,614
2020-06-14,1,NA,0,NA,NA,1,665,1,1,628,13,534
2020-06-15,3,NA,0,NA,NA,18,683,1,1,629,13,567
2020-06-16,1,NA,0,NA,NA,1,684,2,1,631,13,492
2020-06-17,2,NA,0,NA,NA,9,693,1,1,633,13,502
2020-06-18,0,NA,0,NA,NA,15,708,1,1,636,13,619
2020-06-19,1,NA,0,NA,NA,8,716,3,1,636,13,775
2020-06-20,0,NA,0,NA,NA,10,726,0,3,639,13,641
2020-06-21,0,NA,0,NA,NA,20,746,0,3,643,13,808
2020-06-22,1,NA,0,NA,NA,5,751,3,0,643,13,720
2020-06-23,1,NA,0,NA,NA,2,753,3,1,642,13,446
2020-06-24,0,NA,0,NA,NA,4,757,4,1,643,13,630
2020-06-25,1,NA,0,NA,NA,3,759,7,2,648,13,579
2020-06-26,0,NA,0,NA,NA,13,772,8,1,654,13,681
2020-06-27,0,NA,0,NA,NA,6,777,5,1,661,13,1045
2020-06-28,0,NA,0,NA,NA,1,778,6,0,661,13,639
2020-06-29,0,NA,0,NA,NA,1,779,5,0,679,13,696
2020-06-30,0,NA,0,NA,NA,6,785,4,1,684,13,444
2020-07-01,0,NA,0,NA,NA,4,789,3,2,690,13,614
2020-07-02,1,NA,0,NA,NA,6,795,3,3,701,14,689
2020-07-03,0,NA,0,NA,NA,1,796,1,3,711,14,548
2020-07-04,0,NA,0,NA,NA,2,798,2,2,727,14,674
