Date,Region,New Cases,Total Cases,Active Cases,Inpatient Hospitalizations,ICU Hospitalizations,Recovered Cases,Deaths
2020-08-04,Far North West,0,346,4,0,0,335,7
2020-08-04,Far North Central,0,0,0,0,0,0,0
2020-08-04,Far North East,0,6,0,0,0,6,0
2020-08-04,North West,0,96,1,0,0,70,4
2020-08-04,North Central,1,63,6,0,0,55,1
2020-08-04,North East,0,62,1,0,0,31,0
2020-08-04,Saskatoon,2,216,24,3,5,190,2
2020-08-04,Central West,0,158,46,0,0,83,0
2020-08-04,Central East,0,28,1,0,0,24,1
2020-08-04,Regina,4,99,13,1,2,83,1
2020-08-04,South West,1,149,30,3,0,113,0
2020-08-04,South Central,0,134,30,0,0,99,2
2020-08-04,South East,0,11,0,0,0,6,0
2020-08-05,Far North West,0,346,4,0,0,335,7
2020-08-05,Far North Central,0,0,0,0,0,0,0
2020-08-05,Far North East,0,6,0,0,0,6,0
2020-08-05,North West,0,98,1,0,0,79,4
2020-08-05,North Central,0,63,4,0,1,57,1
2020-08-05,North East,0,65,1,0,0,34,0
2020-08-05,Saskatoon,2,217,19,3,5,196,2
2020-08-05,Central West,1,159,44,0,0,86,0
2020-08-05,Central East,0,28,1,1,0,24,1
2020-08-05,Regina,2,100,15,1,2,84,1
2020-08-05,South West,0,149,26,2,0,119,0
2020-08-05,South Central,0,134,24,0,0,105,2
2020-08-05,South East,0,11,0,0,0,8,0
2020-08-06,Far North West,0,346,2,0,0,337,7
2020-08-06,Far North Central,0,0,0,0,0,0,0
2020-08-06,Far North East,0,6,0,0,0,6,0
2020-08-06,North West,0,98,1,0,0,81,4
2020-08-06,North Central,0,63,4,0,1,58,1
2020-08-06,North East,0,65,1,0,0,34,0
2020-08-06,Saskatoon,1,218,17,3,4,199,2
2020-08-06,Central West,0,159,40,0,0,95,0
2020-08-06,Central East,0,28,1,1,0,24,1
2020-08-06,Regina,0,100,13,1,1,85,2
2020-08-06,South West,1,150,24,2,0,123,0
2020-08-06,South Central,9,143,25,0,0,114,2
2020-08-06,South East,0,11,0,0,0,8,0
2020-08-07,Far North West,0,346,1,0,0,338,7
2020-08-07,Far North Central,0,0,0,0,0,0,0
2020-08-07,Far North East,0,6,0,0,0,6,0
2020-08-07,North West,0,99,1,0,0,85,4
