Date,Region,Inpatient Hospitalizations,ICU Hospitalizations
2020-08-04,Far North West,0,0
2020-08-04,Far North Central,0,0
2020-08-04,Far North East,0,0
2020-08-04,North West,0,0
2020-08-04,North Central,0,0
2020-08-04,North East,0,0
2020-08-04,Saskatoon,3,5
2020-08-04,Central West,0,0
2020-08-04,Central East,0,0
2020-08-04,Regina,1,2
2020-08-04,South West,3,0
2020-08-04,South Central,0,0
2020-08-04,South East,0,0
2020-08-05,Far North West,0,0
2020-08-05,Far North Central,0,0
2020-08-05,Far North East,0,0
2020-08-05,North West,0,0
2020-08-05,North Central,0,1
2020-08-05,North East,0,0
2020-08-05,Saskatoon,3,5
2020-08-05,Central West,0,0
2020-08-05,Central East,1,0
2020-08-05,Regina,1,2
2020-08-05,South West,2,0
2020-08-05,South Central,0,0
2020-08-05,South East,0,0
2020-08-06,Far North West,0,0
2020-08-06,Far North Central,0,0
2020-08-06,Far North East,0,0
2020-08-06,North West,0,0
2020-08-06,North Central,0,1
2020-08-06,North East,0,0
2020-08-06,Saskatoon,3,4
2020-08-06,Central West,0,0
2020-08-06,Central East,1,0
2020-08-06,Regina,1,1
2020-08-06,South West,2,0
2020-08-06,South Central,0,0
2020-08-06,South East,0,0
2020-08-07,Far North West,0,0
2020-08-07,Far North Central,0,0
2020-08-07,Far North East,0,0
2020-08-07,North West,0,0
2020-08-07,North Central,0,1
2020-08-07,North East,0,0
2020-08-07,Saskatoon,4,3
2020-08-07,Central West,0,0
2020-08-07,Central East,1,0
2020-08-07,Regina,1,0
2020-08-07,South West,2,0
2020-08-07,South Central,1,0
2020-08-07,South East,0,0
2020-08-08,Far North West,0,0
2020-08-08,Far North Central,0,0
2020-08-08,Far North East,0,0
2020-08-08,North West,0,0
2020-08-08,North Central,0,1
2020-08-08,North East,0,0
2020-08-08,Saskatoon,3,4
2020-08-08,Central West,0,0
2020-08-08,Central East,0,0
2020-08-08,Regina,1,0
2020-08-08,South West,3,0
2020-08-08,South Central,1,0
2020-08-08,South East,0,0
2020-08-09,Far North West,0,0
2020-08-09,Far North Central,0,0
2020-08-09,Far North East,0,0
2020-08-09,North West,0,0
2020-08-09,North Central,0,0
2020-08-09,North East,0,0
2020-08-09,Saskatoon,3,3
2020-08-09,Central West,0,0
2020-08-09,Central East,0,0
2020-08-09,Regina,1,1
2020-08-09,South West,2,2
2020-08-09,South Central,1,1
2020-08-09,South East,0,0
2020-08-10,Far North West,0,0
2020-08-10,Far North Central,0,0
2020-08-10,Far North East,0,0
2020-08-10,North West,0,0
2020-08-10,North Central,0,1
2020-08-10,North East,0,0
2020-08-10,Saskatoon,3,3
2020-08-10,Central West,0,0
2020-08-10,Central East,0,0
2020-08-10,Regina,1,0
2020-08-10,South West,3,1
2020-08-10,South Central,1,0
2020-08-10,South East,0,0
2020-08-11,Far North West,0,0
2020-08-11,Far North Central,0,0
2020-08-11,Far North East,0,0
2020-08-11,North West,0,0
2020-08-11,North Central,0,1
2020-08-11,North East,0,0
2020-08-11,Saskatoon,3,3
2020-08-11,Central West,0,0
2020-08-11,Central East,0,0
2020-08-11,Regina,1,0
2020-08-11,South West,1,1
2020-08-11,South Central,1,0
2020-08-11,South East,0,0
2020-08-12,Far North West,0,0
2020-08-12,Far North Central,0,0
2020-08-12,Far North East,0,0
2020-08-12,North West,0,0
2020-08-12,North Central,0,1
2020-08-12,North East,0,0
2020-08-12,Saskatoon,3,3
2020-08-12,Central West,0,0
2020-08-12,Central East,0,0
2020-08-12,Regina,1,0
2020-08-12,South West,0,1
2020-08-12,South Central,1,0
2020-08-12,South East,0,0
2020-08-13,Far North West,0,0
2020-08-13,Far North Central,0,0
2020-08-13,Far North East,0,0
2020-08-13,North West,0,0
2020-08-13,North Central,1,1
2020-08-13,North East,0,0
2020-08-13,Saskatoon,3,3
2020-08-13,Central West,0,0
2020-08-13,Central East,0,0
2020-08-13,Regina,1,0
2020-08-13,South West,0,1
2020-08-13,South Central,1,0
2020-08-13,South East,0,0
2020-08-14,Far North West,0,0
2020-08-14,Far North Central,0,0
2020-08-14,Far North East,0,0
2020-08-14,North West,0,0
2020-08-14,North Central,1,1
2020-08-14,North East,0,0
2020-08-14,Saskatoon,3,3
2020-08-14,Central West,0,0
2020-08-14,Central East,0,0
2020-08-14,Regina,1,0
2020-08-14,South West,0,1
2020-08-14,South Central,0,0
2020-08-14,South East,0,0
2020-08-15,Far North West,0,0
2020-08-15,Far North Central,0,0
2020-08-15,Far North East,0,0
2020-08-15,North West,0,0
2020-08-15,North Central,0,1
2020-08-15,North East,0,0
2020-08-15,Saskatoon,2,3
2020-08-15,Central West,0,0
2020-08-15,Central East,0,0
2020-08-15,Regina,1,0
2020-08-15,South West,0,1
2020-08-15,South Central,0,0
2020-08-15,South East,0,0
2020-08-16,Far North West,0,0
2020-08-16,Far North Central,0,0
2020-08-16,Far North East,0,0
2020-08-16,North West,0,0
2020-08-16,North Central,0,0
2020-08-16,North East,0,0
2020-08-16,Saskatoon,1,4
2020-08-16,Central West,0,0
2020-08-16,Central East,0,0
2020-08-16,Regina,1,0
2020-08-16,South West,2,0
2020-08-16,South Central,0,0
2020-08-16,South East,0,0
2020-08-17,Far North West,0,0
2020-08-17,Far North Central,0,0
2020-08-17,Far North East,0,0
2020-08-17,North West,0,0
2020-08-17,North Central,0,0
2020-08-17,North East,0,0
2020-08-17,Saskatoon,1,4
2020-08-17,Central West,0,0
2020-08-17,Central East,0,0
2020-08-17,Regina,1,0
2020-08-17,South West,2,0
2020-08-17,South Central,0,0
2020-08-17,South East,0,0
2020-08-18,Far North West,0,0
2020-08-18,Far North Central,0,0
2020-08-18,Far North East,0,0
2020-08-18,North West,0,0
2020-08-18,North Central,0,0
2020-08-18,North East,0,0
2020-08-18,Saskatoon,1,4
2020-08-18,Central West,0,0
2020-08-18,Central East,0,0
2020-08-18,Regina,1,0
2020-08-18,South West,2,0
2020-08-18,South Central,0,0
2020-08-18,South East,0,0
2020-08-19,Far North West,0,0
2020-08-19,Far North Central,0,0
2020-08-19,Far North East,0,0
2020-08-19,North West,0,0
2020-08-19,North Central,0,0
2020-08-19,North East,0,0
2020-08-19,Saskatoon,1,4
2020-08-19,Central West,0,0
2020-08-19,Central East,0,0
2020-08-19,Regina,2,0
2020-08-19,South West,0,0
2020-08-19,South Central,0,0
2020-08-19,South East,0,0
2020-08-20,Far North West,0,0
2020-08-20,Far North Central,0,0
2020-08-20,Far North East,0,0
2020-08-20,North West,0,0
2020-08-20,North Central,0,0
2020-08-20,North East,0,0
