Group	Total	Male	Female
0–4 years	444930	227965	216970
5–9 years	469165	240225	228940
10–14 years	419160	214345	204815
15–19 years	429825	219070	210755
20-24 years	500100	252600	247500
25-29 years	495410	248030	247380
30-34 years	515505	256440	259070
35–39 years	550540	274595	275945
40–44 years	506525	254100	252425
45–49 years	519425	260410	259015
50–54 years	619435	309070	310370
55–59 years	636475	314190	322285
60–64 years	562670	276140	286535
65-69 years	488175	236395	251775
70-74 years	373590	176905	196690
75-79 years	256905	116020	140890
80-84 years	187835	78390	109450
85 years and over	188685	61885	126805
Total	8164360	4016760	4147605
