Group	Total	Male	Female
Total	7903000	3875865	4027140
0 to 4 years	440840	225525	215315
5 to 9 years	399575	203670	195905
10 to 14 years	418200	213540	204660
15 to 19 years	491980	249960	242020
20 to 24 years	489185	246845	242340
25 to 29 years	490665	245700	244975
30 to 34 years	531445	264980	266460
35 to 39 years	498225	249610	248615
40 to 44 years	520810	261120	259690
45 to 49 years	623575	311320	312250
50 to 54 years	648695	320695	328000
55 to 59 years	579280	285290	293990
60 to 64 years	512830	250675	262155
65 to 69 years	403210	194305	208905
70 to 74 years	291755	135830	155925
75 to 79 years	232355	101675	130680
80 to 84 years	176420	69170	107250
85 to 89 years	103310	33885	69425
90 to 94 years	39600	9960	29640
95 to 99 years	9690	1915	7775
100 years and over	1345	185	1165
